Vessel Name,Year,Tags,LOA,LBP,B,T,D,D_Upperdeck,DWT,GT,Displacement,C_B,HTS,V_Service,MCR,P_I,N_MainEngines,ME,Fuel consumption,Fuel auxilaries,P_Aux,N_prop,CPP?,Azi?,D_Prop,Prop_RPM,Skeg?,Bulbous Bow?,N_Bowramps,N_Sternramps,N_Sidedoor,N_Insideramps,N_Lifts,N_VehDecks,N_SemiDecks,N_HoistDecks,N_PasDecks,A_PasRelative,N_Pas,L_Voyage,N_Berths,N_Cabins,N_Crew_Total,N_Officers,L_Lane,L_LaneTrailer,L_LaneTrailer(or),L_LaneCar,L_LaneCar(or),L_TrainTrack,N_Cars,N_Cars(or),L_Car,N_Trailers,N_Trailers(or),L_Trailer,No. Bowtrusters,P_Bowthruster,Classification,HFO Tanks,LNG Tanks,DO Tanks,LO Tanks,FW Tanks,BW Tanks,Heeling Tanks,Cost,Significant Ship,Comments,L/B,LBP/LOA,LB,B/T,T/D,B/D,L/D,L/D_Up,LBD,LBD_Up,D_Prop/T,P_I_k,Fn,LDisprat,W_LS,Endurance,Range,A_Projected,P_TB,N_Crew,L_Lane_max_T,L_Lane_add_C,L_Lane_max_C,Lane_Mt,LM/Pas,DWT/Pas,A_Pas,A_Veh,A_Trailer,A_Car,A_Car_max,A_Train
Cruise Roma,2008,,225.0,202.0,30.4,7.0,10.0,21.9,8550.0,53360.0,,,100.0,25.0,76.0,55440,4, Wartsila 12V46D,115.0,,12400.0,2,True,False,5.6,150.0,True,True,0.0,2.0,,3.0,,2.0,2.0,0.0,5.0,3.6,1834,,1834.0,460.0,,,,3100.0,0.0,970.0,0.0,0.0,0.0,0.0,4.5,0.0,0.0,12.0,2,1850.0,RINA,1500.0,0.0,250.0,,,2000.0,,,True,,6.644736842105264,0.8977777777777778,6140.799999999999,4.3428571428571425,0.7,3.04,20.2,9.223744292237443,61407.99999999999,134483.52,0.7999999999999999,55.44,0.2888888500706078,,,13.043478260869565,7826.086956521739,3611.7599999999993,3700.0,,3100,970,970,4070.0,2.219193020719738,4.661941112322792,15474.815999999997,11027.0,8990.0,2037.0,2037.0,0.0
Danielle Casanova,2002,,176.0,161.6,30.4,6.62,9.2,18.2,3400.0,44500.0,20100.0,,90.0,24.8,80.0,37800,4, Wartsila 9L46C,150.0,10.0,,2,True,False,5.2,154.0,True,True,1.0,2.0,,,,1.0,0.0,1.0,5.0,4.0,2453,,,470.0,174.0,18.0,,0.0,0.0,2000.0,0.0,0.0,0.0,0.0,4.5,0.0,0.0,12.0,2,1600.0,BV,1200.0,0.0,350.0,,,2000.0,,,True,,5.315789473684211,0.9181818181818181,4912.639999999999,4.59214501510574,0.7195652173913044,3.3043478260869565,17.565217391304348,8.87912087912088,45196.28799999999,89410.04799999998,0.7854984894259819,37.8,0.32040365292301354,5.943505523293535,16700.0,8.0,4761.6,2245.5935999999997,3200.0,156.0,0,0,2000,2000.0,0.8153281695882593,1.3860578883000407,13755.391999999998,4200.0,0.0,0.0,4200.0,0.0
European Ambassador,2001,,169.8,161.6,24.0,6.0,9.5,15.7,4884.0,24206.0,,,,25.7,90.0,39600,2, Wartsila 12V38 //  18V38,,,7400.0,2,True,False,4.75,170.0,True,True,1.0,1.0,,2.0,,2.0,1.0,0.0,2.0,1.4,405,,222.0,,45.0,17.0,,1660.0,0.0,290.0,1950.0,0.0,0.0,0.0,4.5,0.0,0.0,12.0,2,1260.0,LR,1071.0,0.0,124.0,,,2669.0,,,True,,6.733333333333333,0.9517078916372201,3878.3999999999996,4.0,0.631578947368421,2.526315789473684,17.010526315789473,10.292993630573248,36844.799999999996,60890.87999999999,0.7916666666666666,39.6,0.33203120484360676,,,,,1881.0239999999997,2520.0,28.0,1660,290,1950,1950.0,4.814814814814815,12.059259259259258,3800.8319999999994,5423.0,4814.0,609.0,4095.0,0.0
European Causeway,2000,,159.5,148.0,23.4,5.5,9.0,15.2,4276.0,20646.0,,,,22.7,85.0,31680,4, Wartsila 12V38,120.0,,7200.0,2,True,False,4.25,182.0,True,True,1.0,1.0,,2.0,,2.0,1.0,0.0,2.0,1.0,410,,,,55.0,,,1445.0,0.0,325.0,0.0,0.0,0.0,0.0,4.5,0.0,0.0,13.5,2,1260.0,LR,1032.0,0.0,124.0,,,2488.0,,,True,,6.324786324786325,0.9278996865203761,3463.2,4.254545454545454,0.6111111111111112,2.5999999999999996,16.444444444444443,9.736842105263158,31168.8,52640.63999999999,0.7727272727272727,31.68,0.30645129132428417,,,8.6,4685.28,1722.7199999999998,2520.0,,1445,325,325,1770.0,4.317073170731708,10.429268292682927,2424.24,4873.0,4190.5,682.5,682.5,0.0
F.A. Gauthier,2014,,133.2,119.92,22.0,5.57,8.0,25.8,1840.0,16200.0,10080.0,0.652,100.0,20.0,85.0,20880,4,Wartsila 12V34DF,78.8,,,2,,True,,,True,True,1.0,1.0,,,,2.0,0.0,2.0,2.0,1.6,755,,,,45.0,,,1240.0,0.0,0.0,0.0,0.0,0.0,0.0,4.5,0.0,0.0,12.0,2,1500.0,LR,,500.0,350.0,,,950.0,,,True,,5.450909090909091,0.9003003003003004,2638.2400000000002,3.949730700179533,0.69625,2.75,14.99,4.648062015503876,21105.920000000002,68066.592,,20.88,0.29995122640582,5.551428821382991,8240.0,,,2911.17792,3000.0,,1240,0,0,1240.0,1.6423841059602649,2.437086092715232,2954.8288,3596.0,3596.0,0.0,0.0,0.0
Ferry Lavender,1991,long haul,192.91,181.0,29.4,6.75,14.5,,2689.0,19904.0,,,0.0,21.8,90.0,26400,2, Pielstick 8PC40L,66.3,,4700.0,2,True,False,4.45,172.0,True,True,1.0,1.0,,,,2.0,0.0,0.0,3.0,1.8,796,30.0,,86.0,53.0,11.0,,2520.0,0.0,360.0,0.0,0.0,80.0,0.0,4.5,186.0,0.0,12.0,1,1100.0,JG,760.0,0.0,140.0,,,6380.0,,,True,,6.156462585034014,0.9382613654035561,5321.4,4.355555555555555,0.46551724137931033,2.027586206896552,12.482758620689655,,77160.29999999999,,0.6592592592592593,26.4,0.26612376706788876,,,11.463046757164404,5997.466063348416,,1100.0,42.0,2520,360,360,2880.0,3.6180904522613067,3.378140703517588,6704.964,8064.0,7308.0,756.0,756.0,0.0
Ferry Naminoue,2012,,145.0,135.0,24.0,6.2,8.25,14.5,3711.0,8072.0,,0.5,,21.0,85.0,12140,2, SEMT Pielstick 12PC2-6V,52.6,,,1,True,False,4.8,,True,True,0.0,1.0,,4.0,1.0,2.0,1.0,0.0,2.0,1.2,707,,,47.0,25.0,10.0,,0.0,0.0,0.0,0.0,0.0,72.0,0.0,4.5,48.0,0.0,12.0,1,,,545.0,0.0,149.0,,,2394.0,,,True,,5.625,0.9310344827586207,3240.0,3.8709677419354835,0.7515151515151516,2.909090909090909,16.363636363636363,9.310344827586206,26730.0,46980.0,0.7741935483870968,12.14,0.2968375693466093,,,10.361216730038022,5222.053231939162,1344.6000000000001,,15.0,576,324,324,900.0,1.272984441301273,5.248939179632249,2721.6,2350.7999999999997,1670.3999999999999,680.4,680.4,0.0
Finnclipper,1999,,188.3,170.0,28.7,6.0,9.0,15.1,6800.0,30500.0,,,,22.0,85.0,23040,4, Sulzer 8ZA40S,,,6560.0,2,True,False,,,True,True,1.0,1.0,,2.0,5.0,3.0,1.0,0.0,3.0,1.4,454,,,192.0,40.0,,,2450.0,0.0,0.0,0.0,0.0,0.0,0.0,4.5,0.0,0.0,12.0,2,1500.0,LR,1000.0,0.0,400.0,,,2000.0,,,True,,5.923344947735192,0.9028146574614976,4879.0,4.783333333333333,0.6666666666666666,3.1888888888888887,18.88888888888889,11.258278145695364,43911.0,73672.9,,23.04,0.27711796195447264,,,,,1856.3999999999999,3000.0,,2450,0,0,2450.0,5.39647577092511,14.977973568281937,4781.419999999999,7105.0,7105.0,0.0,0.0,0.0
Finnstar,2006,,218.8,199.0,30.5,7.0,9.9,16.15,9300.0,45000.0,,,100.0,25.0,85.0,41580,4, Wartsila 9L46D,127.0,8.0,8000.0,2,True,False,5.4,150.0,True,True,1.0,2.0,,,,3.0,1.0,1.0,5.0,1.1,573,,573.0,201.0,50.0,8.0,,4200.0,0.0,280.0,0.0,0.0,0.0,0.0,4.5,0.0,0.0,12.0,2,2000.0,DNV,1114.0,0.0,241.0,,,5400.0,,,True,,6.524590163934426,0.9095063985374771,6069.5,4.357142857142857,0.7070707070707071,3.080808080808081,20.1010101010101,12.321981424148609,60088.05,98022.42499999999,0.7714285714285715,41.58,0.291058258638503,,,8.771653543307087,5262.992125984252,2185.0199999999995,4000.0,42.0,4200,280,280,4480.0,7.818499127399651,16.230366492146597,4673.515,12768.0,12180.0,588.0,588.0,0.0
Frans Suell,1992,long haul,169.4,149.8,27.6,6.25,8.5,14.0,2962.0,35285.0,16562.0,,,21.5,73.6,23760,4, Pielstick 12PC2.6V-400E,,,,2,True,False,4.9,135.0,True,True,1.0,2.0,,,,,0.0,2.0,5.0,3.9,2216,,2172.0,805.0,193.0,,,1100.0,0.0,0.0,2200.0,0.0,462.0,0.0,4.5,0.0,0.0,12.0,2,1100.0,DNV,683.0,0.0,164.0,,,780.0,,,True,,5.4275362318840585,0.8842975206611571,4134.4800000000005,4.416,0.7352941176470589,3.2470588235294118,17.623529411764707,10.700000000000001,35143.08,57882.72000000001,0.784,23.76,0.2885021204189406,5.876799669735437,13600.0,,,1393.14,2200.0,,1100,0,2200,2200.0,0.9927797833935018,1.3366425992779782,11287.1304,7810.0,3190.0,0.0,4620.0,0.0
