Vessel Name,Year,Tags,LOA,LBP,B,T,D,D_Upperdeck,DWT,GT,Displacement,C_B,HTS,V_Service,MCR,P_I,N_MainEngines,ME,Fuel consumption,Fuel auxilaries,P_Aux,N_prop,CPP?,Azi?,D_Prop,Prop_RPM,Skeg?,Bulbous Bow?,N_Bowramps,N_Sternramps,N_Sidedoor,N_Insideramps,N_Lifts,N_VehDecks,N_SemiDecks,N_HoistDecks,N_PasDecks,A_PasRelative,N_Pas,L_Voyage,N_Berths,N_Cabins,N_Crew_Total,N_Officers,L_Lane,L_LaneTrailer,L_LaneTrailer(or),L_LaneCar,L_LaneCar(or),L_TrainTrack,N_Cars,N_Cars(or),L_Car,N_Trailers,N_Trailers(or),L_Trailer,No. Bowtrusters,P_Bowthruster,Classification,HFO Tanks,LNG Tanks,DO Tanks,LO Tanks,FW Tanks,BW Tanks,Heeling Tanks,Cost,Significant Ship,Comments,L/B,LBP/LOA,LB,B/T,T/D,B/D,L/D,L/D_Up,LBD,LBD_Up,D_Prop/T,P_I_k,Fn,LDisprat,W_LS,Endurance,Range,A_Projected,P_TB,N_Crew,L_Lane_max_T,L_Lane_add_C,L_Lane_max_C,Lane_Mt,LM/Pas,DWT/Pas,A_Pas,A_Veh,A_Trailer,A_Car,A_Car_max,A_Train
Golfo Dei Coralli,2001,,199.4,179.2,25.0,6.08,8.2,14.2,7100.0,18450.0,15925.0,,,22.5,85.0,18900,2, Wartsila 9L46C,72.0,14.0,5400.0,2,True,False,4.8,131.0,True,True,0.0,1.0,,2.0,,2.0,1.0,0.0,2.0,0.6,308,,308.0,77.0,23.0,13.0,,2510.0,0.0,0.0,0.0,0.0,0.0,0.0,4.5,0.0,0.0,12.0,2,800.0,RINA,1150.0,0.0,80.0,,,5000.0,,,True,,7.167999999999999,0.8986960882647943,4480.0,4.1118421052631575,0.7414634146341464,3.048780487804878,21.853658536585368,12.619718309859154,36736.0,63616.0,0.7894736842105263,18.9,0.2760450549797406,7.122703371675238,8825.0,15.972222222222221,8625.0,1746.1247999999998,1600.0,10.0,2510,0,0,2510.0,8.14935064935065,23.051948051948052,1881.6,7279.0,7279.0,0.0,0.0,0.0
Hamanasu,2004,,224.82,208.0,26.0,7.2,10.0,20.4,5824.0,34181.0,,,,30.5,90.0,35200,2,Wartsila 12V46C,193.0,,,1,True,True,,,True,True,0.0,3.0,,2.0,,2.0,1.0,0.0,3.0,1.7,850,,,180.0,60.0,10.0,,2000.0,0.0,300.0,0.0,0.0,0.0,0.0,4.5,0.0,0.0,12.0,2,1200.0,JG,1247.0,0.0,148.0,,,4251.0,,,True,,8.0,0.925184592118139,5408.0,3.611111111111111,0.72,2.6,20.8,10.19607843137255,54080.0,110323.2,,35.2,0.34732386732728393,,,6.461139896373057,4729.5544041450785,3294.72,2400.0,50.0,2000,300,300,2300.0,2.7058823529411766,6.851764705882353,6435.5199999999995,6430.0,5800.0,630.0,630.0,0.0
Hebrides,2001,,99.4,91.2,15.8,3.2,5.5,11.2,670.0,5506.0,3493.0,,,16.8,85.0,7680,2, Mak 8M32,15.0,,3552.0,1,True,False,2.55,270.0,True,False,1.0,1.0,,,,1.0,0.0,2.0,2.0,1.4,612,,,,37.0,13.0,,0.0,0.0,0.0,0.0,0.0,108.0,0.0,4.5,10.0,0.0,12.0,2,450.0,LR,,0.0,100.0,,,730.0,,,True,,5.772151898734177,0.9175050301810865,1440.96,4.9375,0.5818181818181819,2.872727272727273,16.581818181818182,8.142857142857144,7925.280000000001,16138.751999999999,0.7968749999999999,7.68,0.2889204740664495,6.010749695676477,2823.0,,,875.5199999999999,900.0,24.0,120,486,486,606.0,0.9901960784313726,1.0947712418300655,1412.1408,1368.6,348.0,1020.6,1020.6,0.0
Hjaltland,2002,,125.0,119.0,19.5,5.3,8.0,13.7,1560.0,12000.0,7300.0,,,24.0,85.0,21600,4, MaK 6M43,,,7040.0,2,True,False,4.1,176.0,True,True,1.0,1.0,,1.0,,1.0,1.0,,2.0,1.8,600,,,100.0,42.0,10.0,,450.0,0.0,115.0,0.0,0.0,0.0,0.0,4.5,0.0,0.0,12.0,2,900.0,LR,490.0,0.0,70.0,,,600.0,,,True,,6.102564102564102,0.952,2320.5,3.679245283018868,0.6625,2.4375,14.875,8.686131386861314,18564.0,31790.85,0.7735849056603773,21.6,0.3613301632237372,6.134408241757075,5740.0,,,1199.5199999999998,1800.0,32.0,450,115,115,565.0,0.9416666666666667,2.6,2923.8300000000004,1546.5,1305.0,241.5,241.5,0.0
IBN Battouta 2,1993,short haul,116.0,103.0,18.9,5.0,7.15,12.75,1492.0,9487.0,5961.0,,,17.85,80.0,7000,2, MAN 8L40/54A,27.8,3.0,2448.0,2,True,False,3.5,170.0,True,True,1.0,1.0,,4.0,,1.0,0.0,1.0,2.0,1.7,1300,3.0,0.0,0.0,80.0,16.0,,0.0,0.0,0.0,0.0,0.0,283.0,0.0,4.5,29.0,0.0,16.0,1,600.0,BV,337.0,0.0,118.0,,,905.0,,,True,,5.44973544973545,0.8879310344827587,1946.6999999999998,3.78,0.6993006993006993,2.643356643356643,14.405594405594405,8.07843137254902,13918.904999999999,24820.425,0.7,7.0,0.28885910701165673,5.680643268533638,4469.0,12.122302158273381,5193.194244604317,957.9,600.0,64.0,464,1274,1274,1738.0,1.3369230769230769,1.1476923076923078,2316.5729999999994,4021.0,1345.6,2675.4,2675.4,0.0
Ishikari,1991,,192.5,175.0,27.0,6.7,9.9,,6146.0,31953.0,,,,21.5,85.0,29540,2, MAN 14V52/55B,76.0,,3600.0,2,True,False,4.8,,True,True,1.0,1.0,3.0,5.0,,2.0,3.0,0.0,3.0,1.9,854,,,71.0,76.0,,,0.0,0.0,0.0,0.0,0.0,151.0,0.0,4.5,165.0,0.0,12.0,1,,JG,827.0,0.0,149.0,,,4723.0,,,True,,6.481481481481482,0.9090909090909091,4725.0,4.029850746268656,0.6767676767676768,2.727272727272727,17.676767676767675,,46777.5,,0.7164179104477612,29.54,0.2669229351408539,,,10.881578947368421,5614.894736842105,,,,1980,680,680,2660.0,3.1147540983606556,7.19672131147541,6284.25,7170.0,5742.0,1428.0,1428.0,0.0
Isle of Innisfree,1995,,181.6,172.3,23.4,5.6,8.6,14.4,5285.0,22365.0,,,,22.0,85.0,23040,4, Sulzer 8ZAL40S,60.0,,6700.0,2,True,False,4.8,150.0,True,True,1.0,1.0,,2.0,,2.0,0.0,1.0,3.0,1.5,1650,,,34.0,110.0,,,1810.0,0.0,333.0,0.0,0.0,74.0,605.0,4.5,109.0,0.0,12.0,2,1500.0,LR,680.0,0.0,165.0,,,2170.0,,,True,,7.363247863247865,0.9487885462555067,4031.82,4.178571428571429,0.6511627906976744,2.7209302325581395,20.034883720930235,11.965277777777779,34673.652,58058.208000000006,0.8571428571428572,23.04,0.27526215038762436,,,11.333333333333334,5984.0,1819.4880000000003,3000.0,,1810,333,2723,2723.0,1.6503030303030304,3.203030303030303,4233.411,5948.3,5249.0,699.3000000000001,5718.3,0.0
Juan J Sister,1993,long haul/freighter,151.1,133.3,26.0,6.0,8.6,14.0,5585.0,22400.0,,,,18.0,67.0,12600,4, Wartsila 8R32E,38.0,9.0,,2,True,False,4.5,139.0,True,True,1.0,2.0,,1.0,1.0,3.0,1.0,0.0,3.0,1.7,550,,400.0,139.0,58.0,14.0,,1680.0,0.0,675.0,0.0,0.0,150.0,0.0,4.5,92.0,0.0,16.0,2,550.0,BV,490.0,0.0,152.0,,,850.0,,,True,,5.126923076923077,0.8821972203838518,3465.8,4.333333333333333,0.6976744186046512,3.0232558139534884,15.500000000000002,9.521428571428572,29805.88,48521.200000000004,0.75,12.6,0.25604947318536064,,,12.894736842105264,5570.526315789474,1279.68,1100.0,44.0,1680,675,675,2355.0,4.281818181818182,10.154545454545454,4124.302000000001,6289.5,4872.0,1417.5,1417.5,0.0
Kalliste,1993,freighter,165.0,150.0,29.0,6.5,8.9,16.9,6600.0,29575.0,,,20.0,20.0,85.0,19720,4, Wartsila 16V32D,,,6890.0,2,True,False,,139.0,True,True,1.0,2.0,,2.0,,2.0,1.0,1.0,3.0,1.7,202,,,98.0,34.0,,,2375.0,0.0,560.0,0.0,0.0,120.0,0.0,4.5,0.0,0.0,12.0,2,1400.0,BV,1700.0,0.0,230.0,,,2000.0,230.0,,True,,5.172413793103448,0.9090909090909091,4350.0,4.461538461538462,0.7303370786516854,3.258426966292135,16.85393258426966,8.875739644970414,38715.0,73515.0,,19.72,0.26819508978384715,,,,,1871.9999999999998,2800.0,,2375,560,560,2935.0,14.529702970297029,32.67326732673267,5176.5,8063.5,6887.5,1176.0,1176.0,0.0
Knossos Palace,2000,,214.0,181.22,26.4,7.0,,15.6,5850.0,37482.0,,,,29.5,85.0,67200,4, Wartsila 16V46C,,,11500.0,2,True,False,5.7,,True,True,0.0,2.0,1.0,,,,,,3.0,2.8,2190,6.0,,216.0,130.0,30.0,,0.0,0.0,0.0,0.0,0.0,700.0,110.0,4.5,0.0,120.0,12.0,2,1300.0,DNV,1000.0,0.0,80.0,,,3000.0,,,True,,6.86439393939394,0.846822429906542,4784.208,3.7714285714285714,,,,11.616666666666667,,74633.6448,0.8142857142857143,67.2,0.35990295227130686,,,,,1870.1904,2600.0,100.0,1440,495,3150,3150.0,1.4383561643835616,2.671232876712329,9377.047679999998,10791.0,4176.0,1039.5,6615.0,0.0
Kong Harald,1993,,121.8,103.8,19.2,4.7,7.2,21.4,902.0,11204.0,6256.0,,,18.0,69.0,9000,4, Krupp MaK 6M552C,,,7000.0,2,True,False,3.34,180.0,True,True,0.0,0.0,1.0,,1.0,0.0,1.0,0.0,4.0,2.8,490,,,230.0,59.0,16.0,,0.0,0.0,0.0,0.0,0.0,50.0,0.0,4.5,0.0,0.0,12.0,2,790.0,DNV,620.0,0.0,60.0,,,750.0,,,True,,5.40625,0.8522167487684729,1992.9599999999998,4.085106382978723,0.6527777777777778,2.6666666666666665,14.416666666666666,4.850467289719626,14349.311999999998,42649.34399999999,0.7106382978723403,9.0,0.290161831986189,5.633328883353774,5354.0,,,2080.1519999999996,1580.0,43.0,0,0,225,225.0,0.45918367346938777,1.8408163265306123,3906.2015999999994,472.5,0.0,0.0,472.5,0.0
La Superba,2002,,211.5,186.21,30.4,7.8,10.0,35.65,9750.0,50400.0,,,,28.0,85.0,67200,4, Wartsila 16V46C,,,9940.0,2,True,False,5.7,,True,True,0.0,1.0,,,,3.0,1.0,1.0,4.0,3.5,3000,,,567.0,,,,2780.0,0.0,450.0,0.0,0.0,0.0,0.0,4.5,0.0,0.0,12.0,2,1500.0,RINA,1926.0,0.0,362.0,,,7851.0,,,True,,6.125328947368422,0.8804255319148937,5660.784,3.8974358974358974,0.78,3.04,18.621000000000002,5.223281907433381,56607.84,201806.9496,0.7307692307692308,67.2,0.33699463547813086,,,,,6223.138199999999,3000.0,,2780,450,450,3230.0,1.0766666666666667,3.25,13868.920799999998,9007.0,8062.0,945.0,945.0,0.0
Las Palmas De Gran Canaria,1993,,116.8,101.83,20.7,5.3,7.5,12.8,2700.0,10473.0,,,,16.0,85.0,5280,2, MAN 12V28/32AF,,,2100.0,2,True,False,,,True,True,1.0,1.0,,2.0,,2.0,1.0,0.0,3.0,1.8,378,,78.0,,39.0,,,813.0,0.0,180.0,0.0,0.0,40.0,180.0,4.5,50.0,0.0,16.0,1,750.0,BV,,0.0,,,,,,,True,,4.919323671497585,0.8718321917808219,2107.881,3.9056603773584904,0.7066666666666667,2.76,13.577333333333334,7.95546875,15809.107499999998,26980.8768,,5.28,0.26040454921428846,,,,,916.4700000000001,750.0,,813,180,810,993.0,2.626984126984127,7.142857142857143,2655.9300599999997,2735.7,2357.7,378.0,1701.0,0.0
Loch Seaforth,2014,,117.9,111.45,19.2,4.8,7.0,13.25,1434.0,8680.0,,,45.0,19.2,85.0,8000,2,Wartsila 8L32,28.7,2.8,,2,True,False,4.1,,True,True,1.0,1.0,,,1.0,1.0,0.0,2.0,2.0,1.5,700,,,,42.0,13.0,,0.0,0.0,0.0,0.0,0.0,143.0,0.0,4.5,20.0,0.0,18.0,2,900.0,LR,264.0,0.0,48.0,,,565.0,,68.0,True,,5.8046875,0.9452926208651399,2139.84,4.0,0.6857142857142857,2.742857142857143,15.921428571428573,8.411320754716982,14978.880000000001,28352.88,0.8541666666666666,8.0,0.2986947907265372,,,9.198606271777004,4238.717770034844,1130.103,1800.0,29.0,360,644,644,1004.0,1.4342857142857144,2.0485714285714285,2246.832,2396.4,1044.0,1352.4,1352.4,0.0
Majestic,1993,luxury,188.22,163.05,27.6,6.7,8.3,,7150.0,32600.0,19070.0,,,23.0,85.0,23040,4, Sulzer 8ZA-40S,86.0,,6450.0,2,True,False,4.4,,True,True,0.0,3.0,,1.0,,2.0,2.0,0.0,3.0,2.8,1500,20.0,750.0,339.0,169.0,,,1844.0,0.0,295.0,0.0,0.0,0.0,0.0,4.5,0.0,0.0,12.0,1,1000.0,RINA,1400.0,0.0,,,,5000.0,,,True,,5.907608695652174,0.866273509722665,4500.18,4.119402985074627,0.8072289156626505,3.325301204819277,19.64457831325301,,37351.494000000006,,0.6567164179104478,23.04,0.2958243307486523,6.102913841351975,11920.0,16.27906976744186,8986.046511627907,,1000.0,,1844,295,295,2139.0,1.426,4.766666666666667,8820.3528,5967.099999999999,5347.599999999999,619.5,619.5,0.0
Martin I Soler,2008,,165.3,152.5,25.6,5.5,8.5,15.8,4370.0,24761.0,,,,21.4,90.0,18000,2, MaK 9M43C,,,6110.0,2,True,False,4.25,177.0,True,True,1.0,2.0,,1.0,,2.0,1.0,1.0,,,1164,,,62.0,36.0,7.0,,0.0,0.0,0.0,0.0,0.0,107.0,334.0,4.5,96.0,65.0,16.0,2,1000.0,BV,660.0,0.0,90.0,,,1850.0,,,True,,5.95703125,0.9225650332728372,3904.0,4.654545454545455,0.6470588235294118,3.011764705882353,17.941176470588236,9.651898734177214,33184.0,61683.200000000004,0.7727272727272727,18.0,0.2846068232196799,,,,,1884.9,2000.0,29.0,1536,482,1503,2018.0,1.7336769759450172,3.754295532646048,,5466.599999999999,4454.4,1012.2,3156.3,0.0
Mega Express,2001,,176.01,159.7,24.8,6.3,9.3,17.6,3500.0,23700.0,14500.0,,,29.0,85.0,46800,4, Wartsila 12VR46C,,,9800.0,2,True,False,5.0,155.0,True,True,1.0,2.0,,,,2.0,2.0,2.0,4.0,2.2,1860,,,294.0,104.0,,,790.0,0.0,1710.0,0.0,0.0,0.0,0.0,4.5,0.0,0.0,12.0,2,1600.0,RINA,1270.0,0.0,131.0,,,988.0,,,True,,6.439516129032257,0.9073348105221294,3960.56,3.9365079365079367,0.6774193548387096,2.6666666666666665,17.172043010752684,9.073863636363635,36833.208,69705.856,0.7936507936507937,46.8,0.37688772767158496,6.549109453361613,11000.0,,,2165.532,3200.0,,790,1710,1710,2500.0,1.3440860215053763,1.881720430107527,6099.2624,5882.0,2291.0,3591.0,3591.0,0.0
Mont St Michel,2002,,173.95,162.25,28.5,6.2,9.0,14.85,6300.0,35592.0,,,,21.0,85.0,21600,4, MaK 6M43,,,8060.0,2,True,False,4.65,155.0,True,True,1.0,1.0,,1.0,,2.0,1.0,1.0,3.0,2.4,2120,,788.0,224.0,151.0,11.0,,1180.0,0.0,2250.0,0.0,0.0,0.0,0.0,4.5,0.0,0.0,12.0,2,1500.0,BV,700.0,0.0,290.0,,,1400.0,,,True,,5.692982456140351,0.9327392929002588,4624.125,4.596774193548387,0.6888888888888889,3.1666666666666665,18.02777777777778,10.925925925925926,41617.125,68668.25624999999,0.75,21.6,0.2707655442537829,,,,,1684.1549999999995,3000.0,140.0,1180,2250,2250,3430.0,1.6179245283018868,2.9716981132075473,7768.529999999999,8147.0,3422.0,4725.0,4725.0,0.0
Nils Holgersson,2001,,190.75,175.0,29.5,6.2,9.2,14.65,7200.0,36648.0,,,41.0,22.0,85.0,29880,2, Mak 8M43 //  7M43 //  6M32,,,,2,False,True,4.5,,True,True,1.0,1.0,2.0,2.0,1.0,2.0,1.0,0.0,3.0,2.3,744,,640.0,220.0,56.0,10.0,,1450.0,0.0,1163.0,2613.0,0.0,0.0,0.0,4.5,0.0,0.0,12.0,2,2400.0,GL,946.0,0.0,70.0,,,2644.0,,,True,,5.932203389830509,0.9174311926605505,5162.5,4.758064516129032,0.673913043478261,3.206521739130435,19.021739130434785,11.945392491467576,47494.99999999999,75630.625,0.7258064516129032,29.88,0.27313044526040864,,,,,1774.4999999999998,4800.0,46.0,1450,1163,2613,2613.0,3.5120967741935485,9.67741935483871,8311.624999999998,6647.3,4205.0,2442.3,5487.3,0.0
Normandie,1992,,161.4,146.4,26.0,5.65,,,4225.0,27000.0,,,,20.5,85.0,17760,4, Wartsila 12V32E,,,7380.0,2,True,False,4.8,135.0,True,True,1.0,1.0,,,1.0,2.0,1.0,0.0,4.0,2.5,2120,,774.0,217.0,141.0,,,0.0,0.0,2360.0,0.0,0.0,680.0,0.0,4.5,0.0,135.0,12.0,2,900.0,BV,420.0,0.0,170.0,,,1630.0,440.0,,True,,5.630769230769231,0.9070631970260223,3806.4,4.601769911504425,,,,,,,0.8495575221238937,17.76,0.27825935808324725,,,,,,1800.0,,1620,0,3060,3060.0,1.4433962264150944,1.9929245283018868,6661.2,11124.0,4698.0,0.0,6426.0,0.0
Nuraghes,2004,,214.0,192.44,26.4,6.9,10.0,15.29,3900.0,40050.0,,,100.0,29.5,85.0,51360,4,Wartsila 12V46C,164.0,,,2,True,False,5.6,,True,True,0.0,2.0,,3.0,,3.0,,1.0,2.0,2.0,2900,,,360.0,90.0,,,2000.0,0.0,0.0,0.0,0.0,0.0,0.0,4.5,0.0,0.0,12.0,2,1500.0,RINA,1000.0,0.0,90.0,,,3000.0,,,True,,7.28939393939394,0.8992523364485981,5080.415999999999,3.826086956521739,0.6900000000000001,2.6399999999999997,19.244,12.58600392413342,50804.15999999999,77679.56063999998,0.8115942028985507,51.36,0.3492535249728403,,,6.097560975609756,4317.073170731707,1937.4859199999996,3000.0,,2000,0,0,2000.0,0.6896551724137931,1.3448275862068966,7112.582399999998,5800.0,5800.0,0.0,0.0,0.0
Olau Britannia,1990,,161.0,144.0,29.0,6.5,8.1,,5118.0,33336.0,,,0.0,21.3,85.0,19600,4, Sulzer 8ZA40S,,,7560.0,2,True,False,,,True,True,1.0,1.0,,,,2.0,0.0,2.0,,,1600,,1600.0,,248.0,,,1490.0,0.0,0.0,2588.0,0.0,0.0,575.0,4.5,122.0,0.0,12.0,2,1400.0,GL,,0.0,,,,,,,True,,4.9655172413793105,0.8944099378881988,4176.0,4.461538461538462,0.8024691358024691,3.5802469135802473,17.77777777777778,,33825.6,,,19.6,0.29151762266134146,,,,,,2800.0,,1490,0,2588,2588.0,1.6175,3.19875,,9755.8,4321.0,0.0,5434.8,0.0
Olympia Palace,2001,,214.0,191.22,26.4,7.1,10.0,15.5,6300.0,37150.0,,,,29.5,85.0,67200,4, Wartsila 16V46C,,,11560.0,2,True,False,5.7,150.0,True,True,0.0,2.0,,2.0,,2.0,2.0,0.0,3.0,2.6,1880,,706.0,178.0,120.0,24.0,,2000.0,0.0,495.0,0.0,0.0,0.0,0.0,4.5,0.0,0.0,12.0,2,1000.0,GL,1000.0,0.0,80.0,,,3000.0,,,True,,7.243181818181818,0.8935514018691588,5048.208,3.7183098591549295,0.71,2.6399999999999997,19.122,12.336774193548386,50482.079999999994,78247.22399999999,0.8028169014084507,67.2,0.3503658872736247,,,,,1927.4976000000001,2000.0,96.0,2000,495,495,2495.0,1.327127659574468,3.351063829787234,9187.73856,6839.5,5800.0,1039.5,1039.5,0.0
Olympic Champion,2000,,204.15,185.4,25.8,6.75,9.8,,6500.0,,,,,29.0,85.0,50400,4, Wartsila 12V46C,,,,2,True,False,,,True,True,0.0,2.0,,2.0,,3.0,1.0,0.0,5.0,3.0,1850,,,236.0,70.0,,,2000.0,0.0,525.0,0.0,0.0,0.0,0.0,4.5,0.0,0.0,12.0,2,1200.0,LR,,0.0,,,,,,,True,,7.186046511627907,0.9081557678177811,4783.320000000001,3.8222222222222224,0.6887755102040816,2.63265306122449,18.918367346938776,,46876.53600000001,,,50.4,0.34979177174118703,,,,,,2400.0,,2000,525,525,2525.0,1.364864864864865,3.5135135135135136,10044.972000000002,6902.5,5800.0,1102.5,1102.5,0.0
Pacific Express,1992,long haul,170.0,158.0,25.0,6.5,10.0,20.65,5113.0,11580.0,,,,26.2,90.0,34450,2, SEMT-Pielstick 14PC4-2V,129.0,,6190.0,2,True,False,4.8,162.0,True,True,1.0,1.0,,2.0,1.0,,1.0,0.0,3.0,2.2,660,,660.0,62.0,50.0,12.0,,0.0,0.0,0.0,0.0,0.0,90.0,0.0,4.5,100.0,0.0,12.0,2,1100.0,,639.0,0.0,159.0,,,2583.0,,,True,,6.32,0.9294117647058824,3950.0,3.8461538461538463,0.65,2.5,15.8,7.65133171912833,39500.0,81567.5,0.7384615384615384,34.45,0.3423254628819233,,,4.953488372093023,3114.7534883720928,2682.8399999999997,2200.0,38.0,1200,405,405,1605.0,2.4318181818181817,7.746969696969697,6083.0,4330.5,3480.0,850.5,850.5,0.0
Piana,2011,,180.0,168.1,30.5,6.7,9.8,15.8,7354.0,42180.0,21933.0,,5.0,23.9,85.0,38400,4, Wartsila 8L46F-CR,145.0,15.0,11200.0,2,True,False,5.2,138.0,True,True,0.0,2.0,,,,3.0,,,,,750,,,200.0,56.0,10.0,,2460.0,0.0,1143.0,0.0,0.0,0.0,0.0,4.5,0.0,0.0,12.0,2,1900.0,BV,1670.0,0.0,260.0,,,1700.0,,,True,,5.511475409836065,0.9338888888888889,5127.05,4.552238805970149,0.6836734693877551,3.1122448979591835,17.153061224489793,10.639240506329113,50245.090000000004,81007.39,0.7761194029850746,38.4,0.30274745461941316,6.005304508632796,14579.0,11.517241379310345,6606.2896551724125,1835.6520000000003,3800.0,46.0,2460,1143,1143,3603.0,4.804,9.805333333333333,,9534.3,7134.0,2400.3,2400.3,0.0
Polonia,1995,train,169.9,159.0,28.0,5.9,8.65,14.15,7250.0,29875.0,,,,20.0,85.0,15840,4, Stork Wartsila 6SW38,,,10400.0,2,True,False,4.3,140.0,True,True,0.0,1.0,1.0,,,2.0,0.0,1.0,3.0,2.3,920,,,204.0,,,,2200.0,0.0,0.0,2560.0,740.0,0.0,0.0,4.5,0.0,0.0,12.0,3,1600.0,DNV,,0.0,,,,,,,True,,5.678571428571429,0.9358446144791053,4452.0,4.745762711864407,0.6820809248554913,3.236994219653179,18.381502890173408,11.236749116607774,38509.8,62995.8,0.7288135593220338,15.84,0.2604940990606878,,,,,1574.1,4800.0,,2200,0,2560,3300.0,3.5869565217391304,7.880434782608695,7167.719999999998,8859.0,6380.0,0.0,5376.0,2479.0
Pont-Aven,2004,,184.3,170.8,30.9,6.8,,,,41700.0,,,,27.0,85.0,43200,4,MaK 12VM43,,,16200.0,2,True,False,5.2,,True,True,1.0,1.0,,2.0,,1.0,1.0,1.0,5.0,4.6,2600,,,659.0,183.0,,,0.0,1440.0,3500.0,0.0,0.0,0.0,0.0,4.5,0.0,0.0,12.0,2,2000.0,BV,,0.0,,,,,,,True,,5.527508090614887,0.9267498643516007,5277.72,4.544117647058823,,,,,,,0.7647058823529412,43.2,0.3393018965809029,,,,,,4000.0,,1440,0,3500,3500.0,1.3461538461538463,,16994.2584,11526.0,4176.0,0.0,7350.0,0.0
Pride of Burgundy,1993,,179.4,170.0,27.8,6.27,9.0,14.85,6000.0,28238.0,,,,21.5,85.0,21120,4, Sulzer 8ZA-40S,,,7460.0,2,True,False,4.5,156.0,True,True,1.0,2.0,,,,2.0,0.0,0.0,3.0,1.7,1320,,196.0,79.0,80.0,,,0.0,0.0,0.0,0.0,0.0,530.0,0.0,4.5,120.0,0.0,12.0,2,,LR,760.0,0.0,190.0,,,2828.0,,,True,,6.115107913669065,0.947603121516165,4726.0,4.433811802232856,0.6966666666666667,3.088888888888889,18.88888888888889,11.447811447811448,42534.0,70181.09999999999,0.7177033492822967,21.12,0.27081982645550734,,,,,1750.32,,,1440,2385,2385,3825.0,2.897727272727273,4.545454545454546,5623.94,9184.5,4176.0,5008.5,5008.5,0.0
Pride of Rotterdam,2001,,215.0,203.7,31.5,6.05,9.4,17.3,9268.0,59925.0,,,57.0,22.0,85.0,37800,4, Wartsila 9L46C,,,,2,True,False,4.9,153.0,True,True,0.0,1.0,,4.0,,3.0,1.0,0.0,5.0,3.0,1360,,,546.0,141.0,,,3355.0,0.0,1428.0,0.0,0.0,0.0,0.0,4.5,0.0,0.0,12.0,2,2000.0,LR,1102.0,0.0,182.0,,,3907.0,,,True,,6.466666666666666,0.9474418604651162,6416.549999999999,5.206611570247934,0.6436170212765957,3.351063829787234,21.670212765957444,11.774566473988438,60315.56999999999,111006.31499999999,0.8099173553719009,37.8,0.25315914633822445,,,,,2749.95,4000.0,,3355,1428,1428,4783.0,3.5169117647058825,6.814705882352941,13474.754999999997,12728.3,9729.5,2998.8,2998.8,0.0
Prins Filip,1991,,163.4,150.0,27.0,6.2,9.2,14.4,3899.0,,,,25.0,21.0,85.0,21120,4, Sulzer 8ZA-40S,,,10880.0,2,True,False,4.7,,False,True,2.0,2.0,1.0,,,2.0,0.0,1.0,3.0,1.9,1200,,,121.0,,,,1780.0,0.0,0.0,2634.0,0.0,0.0,600.0,4.5,0.0,0.0,12.0,2,1500.0,BV,524.0,0.0,211.0,,,1314.0,,,True,,5.555555555555555,0.9179926560587515,4050.0,4.354838709677419,0.673913043478261,2.9347826086956523,16.304347826086957,10.416666666666666,37260.0,58320.0,0.7580645161290323,21.12,0.28160484427303945,,,,,1475.9999999999998,3000.0,,1780,0,2700,2700.0,2.25,3.2491666666666665,5386.5,10832.0,5162.0,0.0,5670.0,0.0
Prometheus,2001,,212.0,198.0,25.0,6.6,9.9,15.25,6800.0,26995.0,,,,30.0,85.0,50400,4, Wartsila 12V46C,178.6,,9200.0,2,True,False,5.4,,True,True,0.0,2.0,,3.0,0.0,2.0,0.0,0.0,2.0,1.3,1000,,200.0,52.0,87.0,,,500.0,0.0,1500.0,0.0,0.0,0.0,0.0,4.5,0.0,0.0,12.0,2,1300.0,GL,900.0,0.0,250.0,,,3800.0,,,True,,7.92,0.9339622641509434,4950.0,3.787878787878788,0.6666666666666666,2.525252525252525,20.0,12.98360655737705,49005.0,75487.5,0.8181818181818182,50.4,0.35015079426300016,,,5.03919372900336,3628.2194848824192,2055.2400000000002,2600.0,,500,1500,1500,2000.0,2.0,6.8,4504.5,4600.0,1450.0,3150.0,3150.0,0.0
Robin Hood,1995,,179.6,166.0,27.2,6.0,8.7,16.6,6600.0,26800.0,,,,18.5,85.0,18000,4, MaK 6M552C,,,,2,True,False,4.8,135.0,True,True,1.0,1.0,,6.0,,3.0,1.0,0.0,3.0,1.8,300,,,163.0,41.0,,,2400.0,0.0,0.0,0.0,0.0,0.0,0.0,4.5,150.0,0.0,12.0,2,,GL,,0.0,800.0,,,2500.0,,,True,,6.102941176470589,0.9242761692650334,4515.2,4.533333333333333,0.6896551724137931,3.1264367816091956,19.080459770114945,10.0,39282.24,74952.32,0.7999999999999999,18.0,0.2358219035213138,,,,,2111.52,,,2400,0,0,2400.0,8.0,22.0,5689.151999999999,6960.0,6960.0,0.0,0.0,0.0
