B,B/T,BM,Cb,Cm,Cp,Crew decks,Cw,D,DWT,D_Up,Failed,Fn,GM,Iteration,KB,KG,L/B,L/D,L/Disp_ratio,LB,LBD_Up,LBP,LCB,LD_Up,LOA,LWL,P_E,P_I,Pas decks,T,T/D,T/D_Up,T_roll,T_roll_IMO,V_Displ_HS,Veh decks,W_Displ,W_Displ_HS,W_Fluids,W_LS,W_err,dB/T,dCb,dL,dL/B
30.8,4.4766662818216325,13.08498662530136,0.5424954279410055,0.9479280015271162,0.5722960257182433,13.956094463873933,0.7597467995587038,8.739789259704168,6619.71189481114,15.88290988150299,Displacement,0.555704599432763,11.127485782122662,1,4.160351638614216,6.117852481792917,4.982954545454546,17.560492071315114,5.8953667785846315,5183.69222943889,52555.29404801276,153.47500000000002,-14.937076225183379,9.662901895498054,168.30169576100292,159.76747500000002,15022.402666008382,22091.768626482914,0.40497595542491327,6.880119727724478,0.7872180350441725,0.4331775335284731,122.28448660282571,7.520686318917989,17643.32510848932,0.3654163706553094,16365.8375469614,18084.40823620155,1524.9467684348083,8966.800054675907,-10.500963878620636,0.0,0.0,-1.0,0.0
30.8,4.4766662818216325,13.085993821477892,0.5402446294101425,0.947091661224368,0.5704248612132563,13.867012208265368,0.7581712405870997,8.710487999775832,6626.300298815649,15.841391142444428,Displacement,0.5575239023826344,11.152275067389356,2,4.163622845754545,6.097341599843082,4.950487012987014,17.504759779695927,5.877870828244944,5150.604534498566,52076.37142741726,152.47500000000002,-15.016670729240253,9.625101648520507,167.22741995125213,158.72647500000002,15127.807209652872,22246.775308313045,0.40239097925770045,6.880119727724478,0.7898661622519358,0.434312849538215,122.14850397158993,7.52058009697623,17455.641450277122,0.36308390474813657,16284.458458472001,17892.032486534048,1530.67581539525,8882.707756871972,-9.871829831870798,0.0,0.0,-0.5,0.0
30.8,4.4766662818216325,13.086534662635339,0.5391109084435591,0.94666560256159,0.5694839941208116,13.822471080461087,0.7573776359104913,8.695837369811667,6630.055145528071,15.82063177291515,Displacement,0.5584402802239001,11.164724201657032,3,4.165275697889861,6.087086158868166,4.934253246753247,17.476752788362173,5.869122273409285,5134.060687028404,51837.58147513009,151.97500000000002,-15.05676225979563,9.606127124466706,166.69028204637675,158.20597500000002,15187.879103226347,22335.116328274038,0.401098491174094,6.880119727724478,0.7911969181495268,0.4348827421356973,122.08038463291548,7.520512205352504,17361.88934465869,0.3619176717945501,16244.37636657447,17795.93657827516,1533.9408994930086,8840.779489304758,-9.551368280861091,0.0,0.0,-0.5,0.0
30.8,4.4766662818216325,13.087101022036157,0.5379715786927671,0.9462341988935382,0.5685395638012603,13.777929952656805,0.756580105084937,8.6811867398475,6634.151800942607,15.799872403385868,Displacement,0.5593611916018268,11.177210524465004,4,4.166940220322094,6.076830717893249,4.918019480519481,17.44865126615868,5.8603734555590945,5117.516839558242,51599.23909484998,151.47500000000002,-15.097052132579925,9.587102739357526,166.15314414150137,157.68547500000003,15253.4194213584,22431.499149056468,0.3998060030904877,6.880119727724478,0.7925321656938967,0.4354541322909727,122.01217615445633,7.520434214751633,17268.19744845177,0.36075143884096367,16204.735690748485,17699.902384663063,1537.503208549127,8798.929809294044,-9.226726818927322,0.0,0.0,-0.5,0.0
30.8,4.4766662818216325,13.087693431714426,0.536826593758088,0.9457973845253128,0.567591539732917,13.733388824852526,0.7557786156306616,8.666536109883332,6638.619779125375,15.779113033856587,Displacement,0.5602866740209136,11.189734698736977,5,4.168616543940884,6.066575276918332,4.901785714285715,17.420454733677033,5.851624469954764,5100.972992088081,51361.34428657691,150.97500000000002,-15.13754198841497,9.568028296397854,165.616006236626,157.164975,15324.900344666383,22536.61815392115,0.3985135150068813,6.880119727724478,0.7938719276642,0.43602702591470704,121.94387562623928,7.520345936675543,17174.56606001917,0.3595852058873773,16165.567420763466,17603.930211519648,1541.3884069689257,8757.15871683983,-8.897694422459384,0.0,0.0,-0.5,0.0
30.8,4.4766662818216325,13.088312435996741,0.5356759067006693,0.9453550927841745,0.5666398909673666,13.688847697048242,0.7549731346904685,8.651885479919166,6643.491869291043,15.75835366432731,Displacement,0.56121676542147,11.202297401694281,6,4.170304801640956,6.056319835943416,4.8855519480519485,17.392162708261587,5.842875414071003,5084.429144617919,51123.8970503109,150.47500000000002,-15.178233487189313,9.54890359775559,165.0788683317506,156.644475,15402.846451212943,22651.244781195503,0.3972210269232749,6.880119727724478,0.7952162269938827,0.4366014289487122,121.87548008338919,7.5202471788450564,17080.99548019606,0.3584189729337908,16126.905985294818,17508.02036720096,1545.6250071129857,8715.466211942115,-8.564038155648078,0.0,0.0,-0.5,0.0
30.8,4.4766662818216325,13.088958591833514,0.5345194700344025,0.9449072560020213,0.5656845861211791,13.64430656924396,0.7541636290240817,8.637234849954996,6648.804632752096,15.737594294798026,Displacement,0.5621515041861483,11.21489932522606,7,4.172005128361042,6.046064394968497,4.8693181818181825,17.363774703981964,5.834126387651603,5067.885297147757,50886.897386051925,149.97500000000002,-15.21912830814399,9.529728444554797,164.54173042687523,156.123975,15487.84266694594,22776.23921609697,0.39592853883966855,6.880119727724478,0.7965650867719923,0.4371773473661513,121.80698650477632,7.520137745107103,16987.486012318757,0.3572527399802044,16088.789773720651,17412.173162626725,1550.244801426944,8673.852294600903,-8.225499913409779,0.0,0.0,-0.5,0.0
30.8,4.4766662818216325,13.08963246914057,0.5333572357176919,0.9444538054974966,0.5647255933674202,13.599765441439677,0.7533500650023843,8.62258421999083,6654.598993858574,15.716834925268747,Displacement,0.5630909291465969,11.227541176270705,8,4.173717661123715,6.035808953993581,4.853084415584417,17.335290231605182,5.825377492765781,5051.341449677595,50650.34529380002,149.47500000000002,-15.260228150163613,9.510502636868797,164.00459252199983,155.603475,15580.543719844629,22912.564293889158,0.3946360507560621,6.880119727724478,0.7979185302444972,0.43775478717174554,121.7383918116252,7.5200174353392875,16894.037962253926,0.356086507026618,16051.261756608505,17316.388911310274,1555.283376302143,8632.316964816193,-7.881792558649795,0.0,0.0,-0.5,0.0
30.8,4.4766662818216325,13.09033465115161,0.5321891551450719,0.9439946715577174,0.5637628804269506,13.555224313635396,0.7525324086015504,8.607933590026663,6661.202696347321,15.696075555739466,Displacement,0.5640350795902354,11.240223677209112,9,4.175442539076167,6.0255535130186635,4.83685064935065,17.3067087985676,5.8166288338661305,5034.797602207433,50414.24077355515,148.97500000000002,-15.301534732072795,9.491225973713249,163.46745461712445,155.082975,15681.685440443787,23061.302118299685,0.3933435626724557,6.880119727724478,0.7992765808156248,0.43833375440198336,121.66969286608303,7.5198860453516545,16800.65163842821,0.3549202740730315,16014.666064882073,17220.667929388914,1561.0257262923565,8590.860222587984,-7.530608878267121,0.0,0.0,-0.5,0.0
30.8,4.4766662818216325,13.09106573478172,0.5310151791386697,0.9435297834196135,0.5627964145595102,13.510683185831114,0.7517106253970688,8.593282960062496,6668.104152314224,15.675316186210186,Displacement,0.564983995267156,11.25294756626993,10,4.177179903531956,6.015298072043747,4.820616883116884,17.27802990894649,5.807880517848245,5018.253754737271,50178.583825317335,148.47500000000002,-15.343049792938075,9.471898253039114,162.93031671224907,154.562475,15792.098344111526,23223.674035458123,0.3920510745888493,6.880119727724478,0.8006392620492089,0.43891425512533033,121.60088646974732,7.519743366785671,16707.32735185834,0.3537540411194451,15978.465531242022,17125.010535654797,1567.0269923505325,8549.482067916273,-7.17556389986876,0.0,0.0,-0.5,0.0
30.8,4.4766662818216325,13.091826331002446,0.529835257939509,0.9430590692508705,0.5618261625545785,13.466142058026835,0.7508846805576563,8.57863233009833,6675.643968648121,15.654556816680907,Displacement,0.5659377163971525,11.265713597947348,11,4.178929898013733,6.0050426310688305,4.804383116883118,17.24925306343137,5.799132654112071,5001.70990726711,49943.37444908659,147.97500000000002,-15.384775092375424,9.452519271725624,162.3931788073737,154.041975,15912.724052446056,23401.064783008904,0.390758586505243,6.880119727724478,0.8020065976700527,0.43949629544244145,121.53196936215112,7.519589187010254,16614.065416181722,0.35258780816585866,15943.017792921648,17029.417051586264,1573.583354380009,8508.182500801067,-6.814263602885483,0.0,0.0,-0.5,0.0
30.8,4.4766662818216325,13.092617065228803,0.528649341198651,0.9425824561304634,0.5608520907220029,13.421600930222551,0.7500545388390557,8.563981700134162,6683.889195887912,15.633797447151625,Displacement,0.5668962836768804,11.278522543431897,12,4.180692668297008,5.994787190093914,4.788149350649351,17.220377759295037,5.790385354625043,4985.166059796948,49708.612644862864,147.47500000000002,-15.426712410863516,9.433088825573149,161.8560409024983,153.521475,16044.635273109001,23595.05187221912,0.38946609842163654,6.880119727724478,0.8033786115653067,0.4400798814863749,121.46293821920383,7.5194232890147665,16520.866147687408,0.35142157521227224,15908.393252986782,16933.88780137959,1580.7531171972187,8466.961521242356,-6.446248417955561,0.0,0.0,-0.5,0.0
30.8,4.4766662818216325,13.093438577718732,0.5274573779681713,0.9420998700287726,0.5598741648823943,13.37705980241827,0.7492201645777199,8.549331070169995,6692.916608030846,15.613038077622345,Displacement,0.567859738287151,11.291375191054687,13,4.182468362454953,5.984531749118996,4.771915584415585,17.191403490364255,5.781638733987071,4968.622212326786,49474.29841264622,146.97500000000002,-15.468863550062856,9.413606709296024,161.31890299762293,153.000975,16189.06027445464,23807.44158008035,0.38817361033803016,6.880119727724478,0.8047553277858583,0.4406650194228071,121.39378965158696,7.519245451298895,16427.729865347606,0.3502553422586858,15874.67252413455,16838.423111981294,1588.6030407997698,8425.819129240153,-6.070995079624706,0.0,0.0,-0.5,0.0
30.8,4.4766662818216325,13.094291523985365,0.526259316691966,0.9416112357872728,0.5588923503572738,13.332518674613986,0.7483815216843762,8.534680440205827,6703.096340185407,15.592278708093064,Displacement,0.5688281219003618,11.304272346745575,14,4.18425713090429,5.974276308144079,4.755681818181819,17.162329746990217,5.772892909497432,4952.078364856624,49240.43175243661,146.47500000000002,-15.51123033314083,9.394072716515335,160.78176509274752,152.480475,16347.413085133661,24040.313360490676,0.3868811222544237,6.880119727724478,0.8061367705477386,0.4412517154502503,121.32452020310247,7.519055447759264,16334.656890849648,0.34908910930509934,15842.244248228848,16743.023313120888,1597.4549818037353,8384.755324794449,-5.68593092479777,0.0,0.0,-0.5,0.0
30.8,4.4766662818216325,13.095176575222608,0.5250551051963865,0.9411164770977811,0.557906611958972,13.287977546809703,0.7475385736374706,8.52002981024166,6713.967236094556,15.571519338563784,Displacement,0.5698014766880678,11.31721483450573,15,4.1860591264522835,5.964020867169161,4.739448051948052,17.13315601601864,5.764148001223617,4935.534517386462,49007.01266423405,145.97500000000002,-15.553814605102968,9.374486639751611,160.24462718787214,151.95997500000001,16521.33105093034,24296.07507489756,0.3855886341708173,6.880119727724478,0.8075229642335409,0.44183997580027123,121.25512634897316,7.518853047572746,16241.647548628504,0.34792287635151287,15810.624211199787,16647.688737344215,1606.9079347682139,8343.770107905242,-5.294316751589578,0.0,0.0,-0.5,0.0
30.8,4.4766662818216325,13.096094418744588,0.5238446906806951,0.9406155164812576,0.556916913980265,13.243436419005423,0.7466912834764865,8.505379180277494,6725.930292349325,15.550759969034505,Displacement,0.5707798453286944,11.33020349689523,16,4.187874504344885,5.953765426194245,4.7232142857142865,17.103881780759572,5.75540413207226,4918.9906699163,48774.04114803856,145.47500000000002,-15.596618233130382,9.354848270417493,159.70748928299676,151.43947500000002,16712.721937746704,24577.53226139221,0.38429614608721097,6.880119727724478,0.808913933393856,0.44242980673771154,121.18560449409226,7.518638015076268,16148.702165899664,0.3467566433979265,15780.23345946796,16552.419720047154,1617.3105923810563,8302.86347857254,-4.893376657338938,0.0,0.0,-0.1,0.0
30.8,4.4766662818216325,13.096281984168375,0.5236018587239578,0.9405145732248479,0.5567184960554363,13.234528193444566,0.7465213011067704,8.50244905428466,6728.465859327197,15.546608095128649,Displacement,0.570976124511019,11.332806845810104,17,4.188239199640991,5.951714337999262,4.719967532467534,17.098014827473836,5.753655493956642,4915.681900422268,48727.50055344031,145.37500000000003,-15.60520544735708,9.350914303008102,159.6000617020217,151.33537500000003,16753.28719148642,24637.187046303556,0.3840376484704897,6.880119727724478,0.8091927024552251,0.44254796194935175,121.17168444159917,7.518593471613409,16130.12079348567,0.3465233968072092,15774.315314666977,16533.37381332281,1619.5154332313796,8294.691583212782,-4.8119901467296,0.0,0.0,-0.1,0.0
